officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Rajkot H.O,360001,H.O,Delivery,Rajkot,Rajkot,Gujarat,Rajkot,Rajkot,GUJARAT,0281-2224532,,,,
Surendranagar H.O,363001,H.O,Delivery,Surendranagar,Rajkot,Gujarat,Wadhwanicity,Surendra Nagar,GUJARAT,02752-285052,,,,
Anand H.O,388001,H.O,Delivery,Anand,Vadodara,Gujarat,Anand,Anand,GUJARAT,02692-241050,,,,
Bardoli H.O,394601,H.O,Delivery,Bardoli,Vadodara,Gujarat,Bardoli,Surat,GUJARAT,02622-220931,,,,
Bharuch H.O,392001,H.O,Delivery,Bharuch,Vadodara,Gujarat,Bharuch,Bharuch,GUJARAT,02642-243407,,,,
Kheda H.O,387411,H.O,Delivery,Kheda,Vadodara,Gujarat,Kheda,Kheda,GUJARAT,02694-222023,,,,
Nadiad H.O,387001,H.O,Delivery,Kheda,Vadodara,Gujarat,Nadiad,Kheda,GUJARAT,0268-2567740,,,,
Bilimora H.O,396321,H.O,Delivery,Navsari,Vadodara,Gujarat,Gandevi,Navsari,GUJARAT,02634-285621,,,,
Navsari H.O,396445,H.O,Delivery,Navsari,Vadodara,Gujarat,Navsari,Navsari,GUJARAT,02637-250251,,,,
Dahod H.O,389151,H.O,Delivery,Panchmahals,Vadodara,Gujarat,Dohad,Dahod,GUJARAT,02673-242723,,,,
Godhra H.O,389001,H.O,Delivery,Panchmahals,Vadodara,Gujarat,Godhra,Panch Mahals,GUJARAT,02672-241713,,,,
Nanpura H.O,395001,H.O,Delivery,Surat,Vadodara,Gujarat,Surat,Surat,GUJARAT,0261-2475912,,,,
Surat H.O,395003,H.O,Delivery,Surat,Vadodara,Gujarat,Surat City,Surat,GUJARAT,0261-2418178,,,,
Dabhoi H.O,391110,H.O,Non-Delivery,Vadodara East,Vadodara,Gujarat,Dabhoi,Vadodara,GUJARAT,02663-257050,,,,
Vadodara H.O,390001,H.O,Delivery,Vadodara East,Vadodara,Gujarat,Vadodara,Vadodara,GUJARAT,0265-2422449,,,,
Fateganj H.O,390002,H.O,Delivery,Vadodara West,Vadodara,Gujarat,Vadodara,Vadodara,GUJARAT,0265-2795355,,,,
Valsad H.O,396001,H.O,Delivery,Valsad,Vadodara,Gujarat,Valsad,Valsad,GUJARAT,02632-242038,,,,
Ambala City H.O,134003,H.O,Delivery,Ambala,Ambala  HQ,Haryana,Ambala,Ambala,HARYANA,0171-2556746,,,,
Ambala G.P.O.,133001,H.O,Delivery,Ambala,Ambala  HQ,Haryana,,Ambala,HARYANA,0171-2644948,,,,
Yamunanagar H.O,135001,H.O,Delivery,Ambala,Ambala  HQ,Haryana,,Yamuna Nagar,HARYANA,01732-238186,,,,
Bhiwani H.O,127021,H.O,Delivery,Bhiwani,Ambala  HQ,Haryana,Bhiwani,Bhiwani,HARYANA,01664-242146,,,,
Faridabad NIT H.O,121001,H.O,Delivery,Faridabad,Ambala  HQ,Haryana,Faridabad,Faridabad,HARYANA,0129-2415821,,,,
Gurgaon H.O,122001,H.O,Delivery,Gurgaon,Ambala  HQ,Haryana,Sadar Bazar,Gurgaon,HARYANA,0124-2320392,,,,
Narnaul H.O,123001,H.O,Delivery,Gurgaon,Ambala  HQ,Haryana,Civil Line,Mahendragarh,HARYANA,01282-251924,,,,
Hisar H.O,125001,H.O,Delivery,Hissar,Ambala  HQ,Haryana,Hisar,Hisar,HARYANA,01662-233130,,,,
Sirsa H.O,125055,H.O,Delivery,Hissar,Ambala  HQ,Haryana,Sirsa,Sirsa,HARYANA,01666-221202,,,,
Jind H.O,126102,H.O,Delivery,Karnal,Ambala  HQ,Haryana,Jind,Jind,HARYANA,01681-253170,,,,
Karnal H.O,132001,H.O,Delivery,Karnal,Ambala  HQ,Haryana,Karnal,Karnal,HARYANA,0184-2272298,,,,
Panipat H.O,132103,H.O,Delivery,Karnal,Ambala  HQ,Haryana,Panipat,Panipat,HARYANA,0180-2650933,,,,
Kurukshetra H.O,136118,H.O,Delivery,Kurukshetra,Ambala  HQ,Haryana,Tthanesar,Kurukshetra,HARYANA,01744-220010,,,,
Bahadurgarh H.O,124507,H.O,Delivery,Rohtak,Ambala  HQ,Haryana,Bahadurgarh,Jhajjar,HARYANA,01276-230478,,,,
Rohtak H.O,124001,H.O,Delivery,Rohtak,Ambala  HQ,Haryana,Rohtak,Rohtak,HARYANA,01262-257871,,,,
Sonipat H.O,131001,H.O,Delivery,Sonepat,Ambala  HQ,Haryana,Sonipat,Sonipat,HARYANA,0130-2246955,,,,
Chamba H.O,176310,H.O,Delivery,Chamba,Shimla HQ,Himachal Pradesh,Chamba(T),Chamba,HIMACHAL PRADESH,01899-222348,,,,
Dehra H.O,177101,H.O,Delivery,Dehra Gopipur,Shimla HQ,Himachal Pradesh,Dehra Gopipur,Kangra,HIMACHAL PRADESH,01970-233142,,,,
Kangra H.O,176001,H.O,Delivery,Dehra Gopipur,Shimla HQ,Himachal Pradesh,Kangra(T),Kangra,HIMACHAL PRADESH,01892-265029,,,,
Dharamsala H.O,176215,H.O,Delivery,Dharamsala,Shimla HQ,Himachal Pradesh,Dharamsala,Kangra,HIMACHAL PRADESH,01892-222912,,,,
Palampur H.O,176061,H.O,Delivery,Dharamsala,Shimla HQ,Himachal Pradesh,Palampur,Kangra,HIMACHAL PRADESH,01894-230965,,,,
Barsar H.O,174305,H.O,Delivery,Hamirpur,Shimla HQ,Himachal Pradesh,Barsar,Hamirpur(HP),HIMACHAL PRADESH,01972-288037,,,,
Bilaspur (Bilaspur- HP) H.O,174001,H.O,Delivery,Hamirpur,Shimla HQ,Himachal Pradesh,Bilaspur,Bilaspur (HP),HIMACHAL PRADESH,01978-222245,,,,
Hamirpur H.O,177001,H.O,Delivery,Hamirpur,Shimla HQ,Himachal Pradesh,Hamirpur,Hamirpur(HP),HIMACHAL PRADESH,01972-225882,,,,
Keylong H.O,175132,H.O,Delivery,Mandi,Shimla HQ,Himachal Pradesh,Lahaul,Lahul & Spiti,HIMACHAL PRADESH,01900-222770,,,,
Kullu H.O,175101,H.O,Delivery,Mandi,Shimla HQ,Himachal Pradesh,Kullu,Kullu,HIMACHAL PRADESH,01902-222550,,,,
Mandi H.O,175001,H.O,Delivery,Mandi,Shimla HQ,Himachal Pradesh,Mandi(T),Mandi,HIMACHAL PRADESH,01905-222121,,,,
Sunder Nagar Town Ship H.O,175019,H.O,Delivery,Mandi,Shimla HQ,Himachal Pradesh,Sundarnagar(T),Mandi,HIMACHAL PRADESH,01907-262423,,,,
Rampur Bushahr H.O,172001,H.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Rampur Bushahr,Shimla,HIMACHAL PRADESH,01782-233048,,,,
Reckong Peo H.O,172107,H.O,Delivery,Rampur Bushahr,Shimla HQ,Himachal Pradesh,Kalpa(T),Kinnaur,HIMACHAL PRADESH,01786-223131,,,,
Shimla G.P.O. ,171001,H.O,Delivery,Shimla,Shimla HQ,Himachal Pradesh,Shimla Urban(T),Shimla,HIMACHAL PRADESH,0177-2652472,,,,
Nahan H.O,173001,H.O,Delivery,Solan,Shimla HQ,Himachal Pradesh,Nahan,Sirmaur,HIMACHAL PRADESH,01702-222257,,,,
Solan H.O,173212,H.O,Delivery,Solan,Shimla HQ,Himachal Pradesh,Solan,Solan,HIMACHAL PRADESH,01792-223852,,,,
Una H.O,174303,H.O,Delivery,Una,Shimla HQ,Himachal Pradesh,Una,Una,HIMACHAL PRADESH,01975-227407,,,,
Baramulla H.O,193101,H.O,Delivery,Baramulla,Srinagar HQ,Jammukashmir,Baramulla,Baramulla,JAMMU & KASHMIR,01952-234283,,,,
Gandhinagar H.O,180004,H.O,Delivery,Jammu,Srinagar HQ,Jammukashmir,Jammu,Jammu,JAMMU & KASHMIR,0191-2434151,,,,
Jammu H.O,180001,H.O,Delivery,Jammu,Srinagar HQ,Jammukashmir,Jammu,Jammu,JAMMU & KASHMIR,0191-2546147,,,,
Kathua H.O,184101,H.O,Delivery,Jammu,Srinagar HQ,Jammukashmir,Kathua,Kathua,JAMMU & KASHMIR,01922-243774,,,,
Leh H.O,194101,H.O,Delivery,Leh,Srinagar HQ,Jammukashmir,Ladakh,Leh,JAMMU & KASHMIR,01982-252015,,,,
Rajouri H.O,185131,H.O,Delivery,Rajouri,Srinagar HQ,Jammukashmir,Rajouri,Rajauri,JAMMU & KASHMIR,01962-263088,,,,
Anantnag H.O,192101,H.O,Delivery,Srinagar,Srinagar HQ,Jammukashmir,Anantnag Ho,Ananthnag,JAMMU & KASHMIR,01932-222862,,,,
Srinagar G.P.O. ,190001,H.O,Delivery,Srinagar,Srinagar HQ,Jammukashmir,Srinagar,Srinagar,JAMMU & KASHMIR,0194-2452464,,,,
Udhampur H.O,182101,H.O,Delivery,Udhampur,Srinagar HQ,Jammukashmir,Udhampur,Udhampur,JAMMU & KASHMIR,01992-270704,,,,
Bokaro Steel City H.O,827001,H.O,Delivery,Dhanbad,Ranchi,Jharkhand,Bokaro,Bokaro,JHARKHAND,06542-247781,,,,
Dhanbad H.O,826001,H.O,Delivery,Dhanbad,Ranchi,Jharkhand,Dhanbad,Dhanbad,JHARKHAND,0326-2220207,,,,
Giridih H.O,815301,H.O,Delivery,Giridih,Ranchi,Jharkhand,Giridih,Giridh,JHARKHAND,06532-222270,,,,
Hazaribagh H.O,825301,H.O,Delivery,Hazaribagh,Ranchi,Jharkhand,Hazaribagh,Hazaribag,JHARKHAND,06547-276630,,,,
Ramgarh Cantt H.O,829122,H.O,Delivery,Hazaribagh,Ranchi,Jharkhand,Ramgarh Cantt,Ramgarh,JHARKHAND,06553-222001,,,,
Daltonganj H.O,822101,H.O,Delivery,Palamau,Ranchi,Jharkhand,Daltonganj,Palamau,JHARKHAND,06562-222454,,,,
Doranda H.O,834002,H.O,Delivery,Ranchi,Ranchi,Jharkhand,Ranchi,Ranchi,JHARKHAND,0651-2481029,,,,
Gumla H.O,835207,H.O,Delivery,Ranchi,Ranchi,Jharkhand,Gumla,Gumla,JHARKHAND,06524-223005,,,,
Ranchi G.P.O. ,834001,H.O,Delivery,Ranchi,Ranchi,Jharkhand,Ranchi,Ranchi,JHARKHAND,0651-2215112,,,,
B.Deoghar H.O,814112,H.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Deoghar,Deoghar,JHARKHAND,06432-222307,,,,
Dumka H.O,814101,H.O,Delivery,Santhal Parganas,Ranchi,Jharkhand,Dumka,Dumka,JHARKHAND,06434-227558,,,,
Chaibasa H.O,833201,H.O,Delivery,Singhbhum,Ranchi,Jharkhand,Chaibasa,West Singhbhum,JHARKHAND,06582-256346,,,,
Jamshedpur H.O,831001,H.O,Delivery,Singhbhum,Ranchi,Jharkhand,Jamshedpur,East Singhbhum,JHARKHAND,0657-2423940,,,,
H.A.L II Stage H.O,560008,H.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25270153,,,77.6427,12.9686
R T Nagar H.O,560032,H.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23336825,,,,
Bangalore G.P.O. ,560001,H.O,Delivery,Bangalore GPO,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-22868652,,,77.5955,12.9814
Basavanagudi H.O,560004,H.O,Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-26612250,,,77.5741,12.9446
Jayanagar H.O,560041,H.O,Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-22440303,,,77.586,12.9237
Jalahalli H.O,560013,H.O,Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-28387040,,,77.5539,13.0506
Rajajinagar H.O,560010,H.O,Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23325651,,,77.5545,12.9932
Channapatna H.O,562160,H.O,Delivery,Channapatna,Bangalore HQ,Karnataka,Channapatna,Ramanagar,KARNATAKA,080-7251264,,,77.2027,12.6542
Bagalkot H.O,587101,H.O,Delivery,Bagalkot,North Karnataka,Karnataka,Bagalkot,Bagalkot,KARNATAKA,08354-220230,,,,
Jamkhandi H.O,587301,H.O,Delivery,Bagalkot,North Karnataka,Karnataka,Jamkhandi,Bagalkot,KARNATAKA,08353-220149,,,,
Bailhongal H.O,591102,H.O,Delivery,Belgaum,North Karnataka,Karnataka,Bailhongal,Belgaum,KARNATAKA,08288-233205,,,,
Belgaum H.O,590001,H.O,Delivery,Belgaum,North Karnataka,Karnataka,Belgaum,Belgaum,KARNATAKA,0831-2424897,,,,
Ramdurg H.O,591123,H.O,Delivery,Belgaum,North Karnataka,Karnataka,Ramdurg,Belgaum,KARNATAKA,08335-242091,,,,
Bellary H.O,583101,H.O,Delivery,Bellary,North Karnataka,Karnataka,Bellary,Bellary,KARNATAKA,08392-276036,,,,
Hospet H.O,583201,H.O,Delivery,Bellary,North Karnataka,Karnataka,Hospet,Bellary,KARNATAKA,08394-228210,,,,
Bidar H.O,585401,H.O,Delivery,Bidar,North Karnataka,Karnataka,Bidar,Bidar,KARNATAKA,08482-226403,,,,
Bijapur H.O,586101,H.O,Delivery,Bijapur,North Karnataka,Karnataka,Bijapur,Bijapur(KAR),KARNATAKA,08352-250224,,,,
Athani H.O,591304,H.O,Delivery,Chikodi,North Karnataka,Karnataka,Athani,Belgaum,KARNATAKA,08289-285839,,,,
Chikodi H.O,591201,H.O,Delivery,Chikodi,North Karnataka,Karnataka,Chikodi,Belgaum,KARNATAKA,08338-272329,,,,
Dharwad H.O,580001,H.O,Delivery,Dharwad,North Karnataka,Karnataka,Dharwad,Dharwad,KARNATAKA,0836-2441806,,,,
Hubli H.O,580020,H.O,Delivery,Dharwad,North Karnataka,Karnataka,Hubli,Dharwad,KARNATAKA,0836-2221602,,,,
Gadag H.O,582101,H.O,Delivery,Gadag,North Karnataka,Karnataka,Gadag,Gadag,KARNATAKA,08372-278566,,,,
Koppal H.O,583231,H.O,Delivery,Gadag,North Karnataka,Karnataka,Koppal,Koppal,KARNATAKA,08539-220348,,,,
Gokak H.O,591307,H.O,Delivery,Gokak,North Karnataka,Karnataka,Gokak,Belgaum,KARNATAKA,08332-225133,,,,
Gulbarga H.O,585101,H.O,Delivery,Gulbarga,North Karnataka,Karnataka,Gulbarga,Gulbarga,KARNATAKA,08472-263803,,,,
Yadgiri H.O,585201,H.O,Delivery,Gulbarga,North Karnataka,Karnataka,Yadgiri,Yadgir,KARNATAKA,08473-252309,,,,
Haveri H.O,581110,H.O,Delivery,Haveri,North Karnataka,Karnataka,Haveri,Haveri,KARNATAKA,08375-232213,,,,
Karwar H.O,581301,H.O,Delivery,Karwar,North Karnataka,Karnataka,Karwar,Uttara Kannada,KARNATAKA,08382-221327,,,,
Kumta H.O,581343,H.O,Delivery,Karwar,North Karnataka,Karnataka,Kumta,Uttara Kannada,KARNATAKA,08386-222080,,,,
Raichur H.O,584101,H.O,Delivery,Raichur,North Karnataka,Karnataka,Raichur,Raichur,KARNATAKA,08532-226280,,,,
Sirsi H.O,581401,H.O,Delivery,Sirsi,North Karnataka,Karnataka,Sirsi,Uttara Kannada,KARNATAKA,08384-226326,,,,
Chikmagalur H.O,577101,H.O,Delivery,Chikmagalur,South Karnataka,Karnataka,Chikmagalur,Chickmagalur,KARNATAKA,08262-235417,,,,
Koppa H.O,577126,H.O,Delivery,Chikmagalur,South Karnataka,Karnataka,Koppa,Chickmagalur,KARNATAKA,08265-221009,,,,
Chitradurga H.O,577501,H.O,Delivery,Chitradurga,South Karnataka,Karnataka,Chitradurga,Chitradurga,KARNATAKA,08194-222801,,,,
Davangere H.O,577001,H.O,Delivery,Chitradurga,South Karnataka,Karnataka,Davangere,Davangere,KARNATAKA,08192-257445,,,,
Arsikere H.O,573103,H.O,Delivery,Hassan,South Karnataka,Karnataka,Arsikere,Hassan,KARNATAKA,08174-232314,,,,
Hassan H.O,573201,H.O,Delivery,Hassan,South Karnataka,Karnataka,Hassan,Hassan,KARNATAKA,08172-267091,,,,
Madikeri H.O,571201,H.O,Delivery,Kodagu,South Karnataka,Karnataka,Madikeri,Kodagu,KARNATAKA,08272-225526,,,,
Chickballapur H.O,562101,H.O,Delivery,Kolar,South Karnataka,Karnataka,Chickballapur,Chikkaballapur,KARNATAKA,08156-272640,,,,
Kolar H.O,563101,H.O,Delivery,Kolar,South Karnataka,Karnataka,Kolar,Kolar,KARNATAKA,08152-222031,,,,
Mandya H.O,571401,H.O,Delivery,Mandya,South Karnataka,Karnataka,Mandya,Mandya,KARNATAKA,08232-220130,,,76.923,12.5402
Srirangapatna H.O,571438,H.O,Delivery,Mandya,South Karnataka,Karnataka,Srirangapatna,Mandya,KARNATAKA,08236-252075,,,,
Kulshekar H.O,575005,H.O,Delivery,Mangalore,South Karnataka,Karnataka,Mangalore,Dakshina Kannada,KARNATAKA,0824-2232186,,,,
Mangalore H.O,575001,H.O,Delivery,Mangalore,South Karnataka,Karnataka,Mangalore,Dakshina Kannada,KARNATAKA,0824-2441651,,,,
Mysore H.O,570001,H.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417303,,,76.6568,12.3117
Saraswathipuram H.O,570009,H.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417320,,,76.6298,12.3036
Kollegal H.O,571440,H.O,Delivery,Nanjangud,South Karnataka,Karnataka,Kollegal,Chamrajnagar,KARNATAKA,08224-252009,,,,
Nanjangud H.O,571301,H.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud,Mysore,KARNATAKA,08221-226220,,,76.6797,12.1247
Karkala H.O,574104,H.O,Delivery,Puttur,South Karnataka,Karnataka,Karkala,Udupi,KARNATAKA,08258-230209,,,,
Puttur(D.K.) H.O,574201,H.O,Delivery,Puttur,South Karnataka,Karnataka,Puttur,Dakshina Kannada,KARNATAKA,08251-230090,,,,
Bhadravati H.O,577301,H.O,Delivery,Shimoga,South Karnataka,Karnataka,Bhadravati,Shimoga,KARNATAKA,08282-271745,,,,
Sagar H.O,577401,H.O,Delivery,Shimoga,South Karnataka,Karnataka,Sagar,Shimoga,KARNATAKA,08183-226211,,,,
Shimoga H.O,577201,H.O,Delivery,Shimoga,South Karnataka,Karnataka,Shimoga,Shimoga,KARNATAKA,08182-222207,,,,
Tiptur H.O,572201,H.O,Delivery,Tumkur,South Karnataka,Karnataka,Tiptur,Tumkur,KARNATAKA,08134-250205,,,,
Tumkur H.O,572101,H.O,Delivery,Tumkur,South Karnataka,Karnataka,Tumkur,Tumkur,KARNATAKA,0816-2278443,,,,
Kundapura H.O,576201,H.O,Delivery,Udupi,South Karnataka,Karnataka,Udupi,Udupi,KARNATAKA,08254-230337,,,,
Manipal H.O,576104,H.O,Delivery,Udupi,South Karnataka,Karnataka,Udupi,Udupi,KARNATAKA,0820-2570032,,,,
Udupi H.O,576101,H.O,Delivery,Udupi,South Karnataka,Karnataka,Udupi,Udupi,KARNATAKA,0820-2520217,,,,
Calicut Civil Station H.O,673020,H.O,Delivery,Calicut,Calicut,Kerala,Kozhikode,Kozhikode,KERALA,0495-2370626,,,,
Calicut H.O,673001,H.O,Delivery,Calicut,Calicut,Kerala,Kozhikode,Kozhikode,KERALA,0495-2720164,,,,
Kalpetta H.O,673121,H.O,Delivery,Calicut,Calicut,Kerala,Vythiri,Wayanad,KERALA,04936-203411,,,,
Kannur H.O,670001,H.O,Delivery,Cannanore,Calicut,Kerala,Kannur,Kannur,KERALA,0497-2700190,,,,
Taliparamba H.O,670141,H.O,Delivery,Cannanore,Calicut,Kerala,Taliparamba,Kannur,KERALA,0460-2203119,,,,
Kanhangad H.O,671315,H.O,Delivery,Kasaragod,Calicut,Kerala,Hosdurg,Kasargod,KERALA,04672-204501,,,,
Kasaragod H.O,671121,H.O,Delivery,Kasaragod,Calicut,Kerala,Kasaragod,Kasargod,KERALA,04994-230885,,,,
Malappuram H.O,676505,H.O,Delivery,Manjeri,Calicut,Kerala,Ernad,Malappuram,KERALA,0483-2734880,,,,
Manjeri-kla H.O,676121,H.O,Delivery,Manjeri,Calicut,Kerala,Ernad,Malappuram,KERALA,0483-2766856,,,,
Ottapalam H.O,679101,H.O,Delivery,Ottapalam,Calicut,Kerala,Ottapalam,Palakkad,KERALA,0466-2244229,,,,
Alathur Mbr H.O,678541,H.O,Delivery,Palghat,Calicut,Kerala,Alathur,Palakkad,KERALA,04922-222350,,,,
Olavakkot H.O,678002,H.O,Delivery,Palghat,Calicut,Kerala,Palakkad,Palakkad,KERALA,04912-555119,,,,
Palakkad H.O,678001,H.O,Delivery,Palghat,Calicut,Kerala,Palakkad,Palakkad,KERALA,04912-546876,,,,
Thalassery H.O,670101,H.O,Delivery,Thalassery,Calicut,Kerala,Thalassery,Kannur,KERALA,0490-2321595,,,,
Ponani H.O,679577,H.O,Delivery,Tirur,Calicut,Kerala,Ponnani,Malappuram,KERALA,0494-2666020,,,,
Tirur(kerala) H.O,676101,H.O,Delivery,Tirur,Calicut,Kerala,Tirur,Malappuram,KERALA,0494-2422025,,,,
Koyilandi H.O,673305,H.O,Delivery,Vadakara,Calicut,Kerala,Koyilandi,Kozhikode,KERALA,0496-2620360,,,,
Vadakara H.O,673101,H.O,Delivery,Vadakara,Calicut,Kerala,Vadakara,Kozhikode,KERALA,0496-2522230,,,,
Alappuzha H.O,688001,H.O,Delivery,Alleppey,Kochi,Kerala,Ambalapuzha,Alappuzha,KERALA,0477-2245538,,,,
Cherthala H.O,688524,H.O,Delivery,Alleppey,Kochi,Kerala,Cherthala,Alappuzha,KERALA,0478-2813008,,,,
Aluva H.O,683101,H.O,Delivery,Alwaye,Kochi,Kerala,Aluva,Ernakulam,KERALA,0484-2623213,,,,
Muvattupuzha H.O,686661,H.O,Delivery,Alwaye,Kochi,Kerala,Muvattupuzha,Ernakulam,KERALA,0485-2832379,,,,
Perumbavoor H.O,683542,H.O,Delivery,Alwaye,Kochi,Kerala,Kunnathunad,Ernakulam,KERALA,0484-2525399,,,,
Changanacherry H.O,686101,H.O,Delivery,Changanacherry,Kochi,Kerala,Changanacherry,Kottayam,KERALA,0481-2421756,,,,
Kanjirapally H.O,686507,H.O,Delivery,Changanacherry,Kochi,Kerala,Kanjirappally,Kottayam,KERALA,04828-202598,,,,
Ernakulam H.O,682011,H.O,Delivery,Ernakulam,Kochi,Kerala,Ernakulam,Ernakulam,KERALA,0484-2355467,,,,
Kochi H.O,682001,H.O,Delivery,Ernakulam,Kochi,Kerala,Kochi,Ernakulam,KERALA,0484-2261388,,,,
Kattappana H.O,685508,H.O,Delivery,Idukki,Kochi,Kerala,Udumbanchola,Idukki,KERALA,04868-272392,,,,
Thodupuzha H.O,685584,H.O,Delivery,Idukki,Kochi,Kerala,Thodupuzha,Idukki,KERALA,04862-222286,,,,
Chalakudi H.O,680307,H.O,Delivery,Irinjalakuda,Kochi,Kerala,Mukundapuram Taluk,Thrissur,KERALA,0480-2702873,,,,
Irinjalakuda H.O,680121,H.O,Delivery,Irinjalakuda,Kochi,Kerala,Mukundapuram Taluk,Thrissur,KERALA,0480-2820197,,,,
Kottayam H.O,686001,H.O,Delivery,Kottayam,Kochi,Kerala,Kottayam,Kottayam,KERALA,0481-2567568,,,,
Palai H.O,686575,H.O,Delivery,Kottayam,Kochi,Kerala,Meenachil,Kottayam,KERALA,04822-212239,,,,
Vaikom H.O,686141,H.O,Delivery,Kottayam,Kochi,Kerala,Vaikom,Kottayam,KERALA,04829-231245,,,,
Kayangulam H.O,690502,H.O,Delivery,Mavelikara,Kochi,Kerala,Karthikappally,Alappuzha,KERALA,0479-2443496,,,,
Mavelikara H.O,690101,H.O,Delivery,Mavelikara,Kochi,Kerala,Mavelikara,Alappuzha,KERALA,0479-2302266,,,,
Kunnamkulam H.O,680503,H.O,Delivery,Trichur,Kochi,Kerala,,Thrissur,KERALA,04885-222276,,,,
Thrissur H.O,680001,H.O,Delivery,Trichur,Kochi,Kerala,Thrissur,Thrissur,KERALA,0487-2422400,,,,
Wadakanchery-TC H.O,680582,H.O,Delivery,Trichur,Kochi,Kerala,Thalapilly,Thrissur,KERALA,04884-232276,,,,
Adur( Kla) H.O,691523,H.O,Delivery,Pathanamthitta,Trivandrum  HQ,Kerala,Adur,Pathanamthitta,KERALA,04734-224770,,,,
Pathanamthitta H.O,689645,H.O,Delivery,Pathanamthitta,Trivandrum  HQ,Kerala,Kozhencherry,Pathanamthitta,KERALA,0468-2222328,,,,
Punalur H.O,691305,H.O,Delivery,Pathanamthitta,Trivandrum  HQ,Kerala,Pathanapuram,Kollam,KERALA,0475-2222494,,,,
Karunagappaly H.O,690518,H.O,Delivery,Quilon,Trivandrum  HQ,Kerala,Karunagappaly,Kollam,KERALA,0476-2630406,,,,
Kollam H.O,691001,H.O,Delivery,Quilon,Trivandrum  HQ,Kerala,Kollam,Kollam,KERALA,0474-2751918,,,,
Kottarakara H.O,691506,H.O,Delivery,Quilon,Trivandrum  HQ,Kerala,Kottarakara,Kollam,KERALA,0474-2454737,,,,
Chengannur H.O,689121,H.O,Delivery,Tiruvalla,Trivandrum  HQ,Kerala,Chengannur,Alappuzha,KERALA,0479-2452695,,,,
Tiruvalla H.O,689101,H.O,Delivery,Tiruvalla,Trivandrum  HQ,Kerala,Tiruvalla,Pathanamthitta,KERALA,0469-2602581,,,,
Attingal H.O,695101,H.O,Delivery,Trivandrum North,Trivandrum  HQ,Kerala,Chirayinkeezhu,Thiruvananthapuram,KERALA,0470-2622250,,,,
Thiruvananthapuram G.P.O. ,695001,H.O,Delivery,Trivandrum North,Trivandrum  HQ,Kerala,Thiruvananthapuram,Thiruvananthapuram,KERALA,0471-2473071,,,,
Neyyattinkara H.O,695121,H.O,Delivery,Trivandrum South,Trivandrum  HQ,Kerala,Neyyattinkara,Thiruvananthapuram,KERALA,0471-2222340,,,,
Poojapura H.O,695012,H.O,Delivery,Trivandrum South,Trivandrum  HQ,Kerala,Thiruvananthapuram,Thiruvananthapuram,KERALA,0471-2351473,,,,
Balaghat H.O,481001,H.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Balaghat,Balaghat,MADHYA PRADESH,07632-241182,,,,
Mandla H.O,481661,H.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Mandla,Mandla,MADHYA PRADESH,07642-250796,,,,
Seoni H.O,480661,H.O,Delivery,Balaghat,Bhopal HQ,Madhya Pradesh,Seoni,Seoni,MADHYA PRADESH,07692-220292,,,,
Bhel H.O,462022,H.O,Delivery,Bhopal,Bhopal HQ,Madhya Pradesh,Huzur,Bhopal,MADHYA PRADESH,0755-2673244,,,,
Bhopal G.P.O. ,462001,H.O,Delivery,Bhopal,Bhopal HQ,Madhya Pradesh,Huzur,Bhopal,MADHYA PRADESH,0755-2673272,,,,
C.T.T.Nagar H.O,462003,H.O,Delivery,Bhopal,Bhopal HQ,Madhya Pradesh,Huzur,Bhopal,MADHYA PRADESH,0755-2673231,,,,
Chhatarpur H.O,471001,H.O,Delivery,Chhatarpur,Bhopal HQ,Madhya Pradesh,Chhatarpur,Chhatarpur,MADHYA PRADESH,07682-246161,,,,
Tikamgarh H.O,472001,H.O,Delivery,Chhatarpur,Bhopal HQ,Madhya Pradesh,Tikamgarh,Tikamgarh,MADHYA PRADESH,07683-242402,,,,
Betul H.O,460001,H.O,Delivery,Chhindwara,Bhopal HQ,Madhya Pradesh,Betul,Betul,MADHYA PRADESH,01741-231491,,,,
