Task,Start,Finish,Resource
Work,04/09/24 2:30,04/09/24 6:30,Day 66
Learning Japanese,04/09/24 6:30,04/09/24 8:00,Day 66
Sleep,04/09/24 18:00,05/09/24 0:00,Day 66
Eating,05/09/24 0:00,05/09/24 0:30,Day 67
Exercise,05/09/24 0:30,05/09/24 0:51,Day 67
Learning Mathematics,05/09/24 0:51,05/09/24 1:33,Day 67
Reading,05/09/24 1:33,05/09/24 2:30,Day 67
Learning Japanese,05/09/24 2:30,05/09/24 3:12,Day 67
Work,05/09/24 3:12,05/09/24 6:30,Day 67
Sleep,05/09/24 18:00,06/09/24 0:00,Day 67
Exercise,06/09/24 0:00,06/09/24 0:21,Day 68
Learning Japanese,06/09/24 0:21,06/09/24 2:21,Day 68
Learning Mathematics,06/09/24 2:21,06/09/24 3:03,Day 68
Work,06/09/24 3:03,06/09/24 6:00,Day 68
Eating,06/09/24 6:00,06/09/24 6:30,Day 68
Reading,06/09/24 6:30,06/09/24 8:30,Day 68
Sleep,06/09/24 18:00,07/09/24 0:00,Day 68
Exercise,07/09/24 0:00,07/09/24 0:21,Day 69
Learning Japanese,07/09/24 0:21,07/09/24 2:21,Day 69
Learning Mathematics,07/09/24 2:21,07/09/24 3:03,Day 69
Work,07/09/24 3:03,07/09/24 6:00,Day 69
Reading,07/09/24 6:00,07/09/24 8:00,Day 69
Eating,07/09/24 8:00,07/09/24 8:20,Day 69
Sleep,07/09/24 18:00,08/09/24 0:00,Day 69
Exercise,08/09/24 0:00,08/09/24 0:21,Day 70
Learning Japanese,08/09/24 0:21,08/09/24 2:21,Day 70
Learning Mathematics,08/09/24 2:21,08/09/24 3:03,Day 70
Work,08/09/24 3:03,08/09/24 6:00,Day 70
Eating,08/09/24 6:00,08/09/24 6:20,Day 70
Reading,08/09/24 6:20,08/09/24 8:20,Day 70
Sleep,08/09/24 18:00,09/09/24 0:00,Day 70
Exercise,09/09/24 0:00,09/09/24 0:21,Day 71
Learning Japanese,09/09/24 0:21,09/09/24 2:21,Day 71
Learning Mathematics,09/09/24 2:21,09/09/24 3:03,Day 71
Work,09/09/24 3:03,09/09/24 6:00,Day 71
Eating,09/09/24 6:00,09/09/24 6:20,Day 71
Reading,09/09/24 6:20,09/09/24 8:20,Day 71
Sleep,09/09/24 18:00,10/09/24 0:00,Day 71
Exercise,10/09/24 0:00,10/09/24 0:21,Day 72
Learning Japanese,10/09/24 0:21,10/09/24 2:21,Day 72
Learning Mathematics,10/09/24 2:21,10/09/24 3:03,Day 72
Work,10/09/24 3:03,10/09/24 6:00,Day 72
Eating,10/09/24 6:00,10/09/24 6:29,Day 72
Reading,10/09/24 6:29,10/09/24 8:00,Day 72
Sleep,10/09/24 18:00,11/09/24 0:00,Day 72
Exercise,11/09/24 0:00,11/09/24 0:21,Day 73
Learning Japanese,11/09/24 0:21,11/09/24 1:03,Day 73
Learning Mathematics,11/09/24 1:03,11/09/24 1:45,Day 73
Eating,11/09/24 1:45,11/09/24 2:05,Day 73
Reading,11/09/24 2:05,11/09/24 2:47,Day 73
Work,11/09/24 3:12,11/09/24 6:00,Day 73
Sleep,11/09/24 18:00,12/09/24 0:00,Day 73
Exercise,12/09/24 0:00,12/09/24 0:21,Day 74
Learning Japanese,12/09/24 0:21,12/09/24 1:03,Day 74
Learning Mathematics,12/09/24 1:03,12/09/24 1:45,Day 74
Eating,12/09/24 1:45,12/09/24 2:05,Day 74
Reading,12/09/24 2:05,12/09/24 2:47,Day 74
Work,12/09/24 3:12,12/09/24 6:00,Day 74
Sleep,12/09/24 18:00,13/09/24 0:00,Day 74
Exercise,13/09/24 0:00,13/09/24 0:21,Day 75
Learning Japanese,13/09/24 0:21,13/09/24 1:03,Day 75
Learning Mathematics,13/09/24 1:03,13/09/24 1:45,Day 75
Eating,13/09/24 1:45,13/09/24 2:05,Day 75
Reading,13/09/24 2:05,13/09/24 2:47,Day 75
Work,13/09/24 3:12,13/09/24 6:00,Day 75
Sleep,13/09/24 18:00,14/09/24 0:00,Day 75
Exercise,14/09/24 0:00,14/09/24 0:21,Day 76
Learning Japanese,14/09/24 0:21,14/09/24 1:13,Day 76
Learning Mathematics,14/09/24 1:13,14/09/24 1:55,Day 76
Eating,14/09/24 1:55,14/09/24 2:15,Day 76
Reading,14/09/24 2:15,14/09/24 3:45,Day 76
Work,14/09/24 3:45,14/09/24 7:45,Day 76
Sleep,14/09/24 18:00,15/09/24 0:00,Day 76
Exercise,15/09/24 0:00,15/09/24 0:21,Day 77
Learning Japanese,15/09/24 0:21,15/09/24 1:03,Day 77
Learning Mathematics,15/09/24 1:03,15/09/24 1:45,Day 77
Eating,15/09/24 1:45,15/09/24 2:05,Day 77
Reading,15/09/24 2:05,15/09/24 2:47,Day 77
Work,15/09/24 3:12,15/09/24 6:00,Day 77
Sleep,15/09/24 18:00,16/09/24 0:00,Day 77
Exercise,16/09/24 0:00,16/09/24 0:21,Day 78
Learning Japanese,16/09/24 0:21,16/09/24 1:03,Day 78
Learning Mathematics,16/09/24 1:03,16/09/24 2:00,Day 78
Work,16/09/24 2:00,16/09/24 8:00,Day 78
Eating,16/09/24 8:00,16/09/24 8:20,Day 78
Reading,16/09/24 8:20,16/09/24 9:02,Day 78
Sleep,16/09/24 18:00,17/09/24 0:00,Day 78
Eating,17/09/24 0:00,17/09/24 0:30,Day 79
Learning Japanese,17/09/24 0:30,17/09/24 1:12,Day 79
Reading,17/09/24 1:12,17/09/24 2:00,Day 79
Exercise,17/09/24 2:00,17/09/24 2:21,Day 79
Learning Mathematics,17/09/24 2:21,17/09/24 3:12,Day 79
Work,17/09/24 3:12,17/09/24 6:00,Day 79
Sleep,17/09/24 18:00,18/09/24 0:00,Day 79
Eating,18/09/24 0:00,18/09/24 0:30,Day 80
Learning Japanese,18/09/24 0:30,18/09/24 1:12,Day 80
Reading,18/09/24 1:12,18/09/24 2:00,Day 80
Exercise,18/09/24 2:00,18/09/24 2:21,Day 80
Learning Mathematics,18/09/24 2:21,18/09/24 4:00,Day 80
Work,18/09/24 4:00,18/09/24 8:00,Day 80
Sleep,18/09/24 18:00,19/09/24 0:00,Day 80
Eating,19/09/24 0:00,19/09/24 0:30,Day 81
Exercise,19/09/24 0:30,19/09/24 0:51,Day 81
Learning Japanese,19/09/24 0:51,19/09/24 1:33,Day 81
Reading,19/09/24 1:33,19/09/24 2:30,Day 81
Learning Mathematics,19/09/24 2:30,19/09/24 4:30,Day 81
Work,19/09/24 4:30,19/09/24 8:30,Day 81
Sleep,19/09/24 18:00,20/09/24 0:00,Day 81
Eating,20/09/24 0:00,20/09/24 0:30,Day 82
Exercise,20/09/24 0:30,20/09/24 0:51,Day 82
Learning Japanese,20/09/24 0:51,20/09/24 1:33,Day 82
Reading,20/09/24 1:33,20/09/24 2:30,Day 82
Learning Mathematics,20/09/24 2:30,20/09/24 4:30,Day 82
Work,20/09/24 4:30,20/09/24 8:30,Day 82
Sleep,20/09/24 18:00,21/09/24 0:00,Day 82
Eating,21/09/24 0:00,21/09/24 0:30,Day 83
Exercise,21/09/24 0:30,21/09/24 0:51,Day 83
Learning Japanese,21/09/24 0:51,21/09/24 1:33,Day 83
Reading,21/09/24 1:33,21/09/24 2:30,Day 83
Learning Mathematics,21/09/24 2:30,21/09/24 4:30,Day 83
Work,21/09/24 4:30,21/09/24 8:30,Day 83
Sleep,21/09/24 18:00,22/09/24 0:00,Day 83
Eating,22/09/24 0:00,22/09/24 0:30,Day 84
Exercise,22/09/24 0:30,22/09/24 0:51,Day 84
Learning Japanese,22/09/24 0:51,22/09/24 1:33,Day 84
Reading,22/09/24 1:33,22/09/24 2:30,Day 84
Learning Mathematics,22/09/24 2:30,22/09/24 4:30,Day 84
Work,22/09/24 4:30,22/09/24 8:30,Day 84
Sleep,22/09/24 18:00,23/09/24 0:00,Day 84
Eating,23/09/24 0:10,23/09/24 0:30,Day 85
Exercise,23/09/24 0:30,23/09/24 0:51,Day 85
Learning Japanese,23/09/24 0:51,23/09/24 1:33,Day 85
Reading,23/09/24 1:33,23/09/24 2:30,Day 85
Learning Mathematics,23/09/24 2:30,23/09/24 3:12,Day 85
Work,23/09/24 3:12,23/09/24 6:00,Day 85
Sleep,23/09/24 18:00,24/09/24 0:00,Day 85
Eating,24/09/24 0:00,24/09/24 0:30,Day 86
Reading,24/09/24 0:30,24/09/24 1:12,Day 86
Learning Japanese,24/09/24 1:12,24/09/24 1:54,Day 86
Exercise,24/09/24 1:54,24/09/24 2:15,Day 86
Learning Mathematics,24/09/24 2:15,24/09/24 3:54,Day 86
Work,24/09/24 3:54,24/09/24 7:24,Day 86
Sleep,24/09/24 18:00,25/09/24 0:00,Day 86
Eating,25/09/24 0:00,25/09/24 0:30,Day 87
Reading,25/09/24 0:30,25/09/24 1:12,Day 87
Learning Japanese,25/09/24 1:12,25/09/24 1:54,Day 87
Exercise,25/09/24 1:54,25/09/24 2:15,Day 87
Learning Mathematics,25/09/24 2:15,25/09/24 3:54,Day 87
Work,25/09/24 3:54,25/09/24 7:24,Day 87
Sleep,25/09/24 18:00,26/09/24 0:00,Day 87
Eating,26/09/24 0:00,26/09/24 0:30,Day 88
Learning Japanese,26/09/24 0:30,26/09/24 1:12,Day 88
Reading,26/09/24 1:12,26/09/24 2:00,Day 88
Exercise,26/09/24 2:00,26/09/24 2:21,Day 88
Learning Mathematics,26/09/24 2:21,26/09/24 3:54,Day 88
Work,26/09/24 3:54,26/09/24 7:24,Day 88
Sleep,26/09/24 18:00,27/09/24 0:00,Day 88
Eating,27/09/24 0:00,27/09/24 0:30,Day 89
Learning Japanese,27/09/24 0:30,27/09/24 1:12,Day 89
Reading,27/09/24 1:12,27/09/24 2:00,Day 89
Exercise,27/09/24 2:00,27/09/24 2:21,Day 89
Learning Mathematics,27/09/24 2:21,27/09/24 3:54,Day 89
Work,27/09/24 3:54,27/09/24 7:24,Day 89
Sleep,27/09/24 18:00,28/09/24 0:00,Day 89
Exercise,28/09/24 0:00,28/09/24 0:21,Day 90
Eating,28/09/24 0:21,28/09/24 0:41,Day 90
Learning Mathematics,28/09/24 0:41,28/09/24 1:23,Day 90
Learning Japanese,28/09/24 1:23,28/09/24 2:21,Day 90
Reading,28/09/24 2:21,28/09/24 4:21,Day 90
Work,28/09/24 4:21,28/09/24 8:21,Day 90
Sleep,28/09/24 18:00,29/09/24 0:00,Day 90
Eating,29/09/24 0:10,29/09/24 0:30,Day 91
Exercise,29/09/24 0:30,29/09/24 0:51,Day 91
Learning Japanese,29/09/24 0:51,29/09/24 1:33,Day 91
Reading,29/09/24 1:33,29/09/24 2:30,Day 91
Learning Mathematics,29/09/24 2:30,29/09/24 3:12,Day 91
Work,29/09/24 3:12,29/09/24 6:00,Day 91
Sleep,29/09/24 18:00,30/09/24 0:00,Day 91
Eating,30/09/24 0:00,30/09/24 0:30,Day 92
Exercise,30/09/24 0:30,30/09/24 0:51,Day 92
Learning Japanese,30/09/24 0:51,30/09/24 1:33,Day 92
Reading,30/09/24 1:33,30/09/24 2:30,Day 92
Learning Mathematics,30/09/24 2:30,30/09/24 3:12,Day 92
Work,30/09/24 3:12,30/09/24 6:00,Day 92
Sleep,30/09/24 18:00,01/10/24 0:00,Day 92
Eating,01/10/24 0:00,01/10/24 0:30,Day 93
Exercise,01/10/24 0:30,01/10/24 0:51,Day 93
Learning Japanese,01/10/24 0:51,01/10/24 1:33,Day 93
Reading,01/10/24 1:33,01/10/24 2:30,Day 93
Learning Mathematics,01/10/24 2:30,01/10/24 3:12,Day 93
Work,01/10/24 3:12,01/10/24 8:30,Day 93
Sleep,01/10/24 18:00,02/10/24 0:00,Day 93
Eating,02/10/24 0:00,02/10/24 0:30,Day 94
Exercise,02/10/24 0:30,02/10/24 0:51,Day 94
Learning Japanese,02/10/24 0:51,02/10/24 1:33,Day 94
Reading,02/10/24 1:33,02/10/24 2:30,Day 94
Learning Mathematics,02/10/24 2:30,02/10/24 3:12,Day 94
Work,02/10/24 3:12,02/10/24 8:30,Day 94
Sleep,02/10/24 18:00,03/10/24 0:00,Day 94
Eating,03/10/24 0:00,03/10/24 0:30,Day 95
Exercise,03/10/24 0:30,03/10/24 0:51,Day 95
Learning Japanese,03/10/24 0:51,03/10/24 1:33,Day 95
Reading,03/10/24 1:33,03/10/24 2:30,Day 95
Learning Mathematics,03/10/24 2:30,03/10/24 3:12,Day 95
Work,03/10/24 3:12,03/10/24 8:30,Day 95
Sleep,03/10/24 18:00,04/10/24 0:00,Day 95
Exercise,04/10/24 0:00,04/10/24 0:21,Day 96
Eating,04/10/24 0:21,04/10/24 0:41,Day 96
Learning Japanese,04/10/24 0:41,04/10/24 1:23,Day 96
Reading,04/10/24 1:23,04/10/24 2:21,Day 96
Learning Mathematics,04/10/24 2:21,04/10/24 3:03,Day 96
Work,04/10/24 3:03,04/10/24 8:21,Day 96
Sleep,04/10/24 18:00,05/10/24 0:00,Day 96
Eating,05/10/24 0:00,05/10/24 0:30,Day 97
Learning Japanese,05/10/24 0:30,05/10/24 2:30,Day 97
Exercise,05/10/24 2:30,05/10/24 2:51,Day 97
Reading,05/10/24 2:51,05/10/24 4:09,Day 97
Learning Mathematics,05/10/24 4:09,05/10/24 4:51,Day 97
Work,05/10/24 4:51,05/10/24 8:51,Day 97
Sleep,05/10/24 18:00,06/10/24 0:00,Day 97
Eating,06/10/24 0:00,06/10/24 0:30,Day 98
Learning Japanese,06/10/24 0:30,06/10/24 2:30,Day 98
Exercise,06/10/24 2:30,06/10/24 2:51,Day 98
Reading,06/10/24 2:51,06/10/24 3:42,Day 98
Learning Mathematics,06/10/24 3:42,06/10/24 4:24,Day 98
Work,06/10/24 4:24,06/10/24 7:12,Day 98
Sleep,06/10/24 18:00,07/10/24 0:00,Day 98
Eating,07/10/24 0:00,07/10/24 0:30,Day 99
Learning Japanese,07/10/24 0:30,07/10/24 1:12,Day 99
Reading,07/10/24 1:12,07/10/24 2:00,Day 99
Learning Mathematics,07/10/24 2:00,07/10/24 2:42,Day 99
Work,07/10/24 2:42,07/10/24 8:00,Day 99
Exercise,07/10/24 8:00,07/10/24 8:21,Day 99
Sleep,07/10/24 18:00,08/10/24 0:00,Day 99
Eating,08/10/24 0:00,08/10/24 0:30,Day 100
Exercise,08/10/24 0:30,08/10/24 0:51,Day 100
Learning Japanese,08/10/24 0:51,08/10/24 1:33,Day 100
Reading,08/10/24 1:33,08/10/24 2:30,Day 100
Learning Mathematics,08/10/24 2:30,08/10/24 4:30,Day 100
Work,08/10/24 4:30,08/10/24 8:30,Day 100
Sleep,08/10/24 18:00,09/10/24 0:00,Day 100
Eating,09/10/24 0:00,09/10/24 0:30,Day 101
Exercise,09/10/24 0:30,09/10/24 0:51,Day 101
Learning Japanese,09/10/24 0:51,09/10/24 1:33,Day 101
Reading,09/10/24 1:33,09/10/24 2:30,Day 101
Learning Mathematics,09/10/24 2:30,09/10/24 4:30,Day 101
Work,09/10/24 4:30,09/10/24 8:30,Day 101
Sleep,09/10/24 18:00,10/10/24 0:00,Day 101
Eating,10/10/24 0:00,10/10/24 0:30,Day 102
Exercise,10/10/24 0:30,10/10/24 0:51,Day 102
Learning Japanese,10/10/24 0:51,10/10/24 1:33,Day 102
Reading,10/10/24 1:33,10/10/24 2:30,Day 102
Learning Mathematics,10/10/24 2:30,10/10/24 4:30,Day 102
Work,10/10/24 4:30,10/10/24 8:30,Day 102
Sleep,10/10/24 18:00,11/10/24 0:00,Day 102
Eating,11/10/24 0:00,11/10/24 0:30,Day 103
Exercise,11/10/24 0:30,11/10/24 0:51,Day 103
Learning Japanese,11/10/24 0:51,11/10/24 1:33,Day 103
Reading,11/10/24 1:33,11/10/24 2:30,Day 103
Learning Mathematics,11/10/24 2:30,11/10/24 4:30,Day 103
Work,11/10/24 4:30,11/10/24 8:30,Day 103
Sleep,11/10/24 18:00,12/10/24 0:00,Day 103
Eating,12/10/24 0:00,12/10/24 0:30,Day 104
Exercise,12/10/24 0:30,12/10/24 0:51,Day 104
Learning Japanese,12/10/24 0:51,12/10/24 1:33,Day 104
Reading,12/10/24 1:33,12/10/24 2:30,Day 104
Learning Mathematics,12/10/24 2:30,12/10/24 4:30,Day 104
Work,12/10/24 4:30,12/10/24 8:30,Day 104
Sleep,12/10/24 18:00,13/10/24 0:00,Day 104
Eating,13/10/24 0:00,13/10/24 0:30,Day 105
Exercise,13/10/24 0:30,13/10/24 0:51,Day 105
Learning Japanese,13/10/24 0:51,13/10/24 1:33,Day 105
Reading,13/10/24 1:33,13/10/24 2:30,Day 105
Learning Mathematics,13/10/24 2:30,13/10/24 4:30,Day 105
Work,13/10/24 4:30,13/10/24 8:30,Day 105
Sleep,13/10/24 18:00,14/10/24 0:00,Day 105
Eating,14/10/24 0:00,14/10/24 0:30,Day 106
Reading,14/10/24 0:30,14/10/24 1:12,Day 106
Learning Japanese,14/10/24 1:12,14/10/24 1:54,Day 106
Learning Mathematics,14/10/24 1:54,14/10/24 3:54,Day 106
Exercise,14/10/24 3:54,14/10/24 4:15,Day 106
Work,14/10/24 4:15,14/10/24 7:24,Day 106
Sleep,14/10/24 18:00,15/10/24 0:00,Day 106
Eating,15/10/24 0:00,15/10/24 0:30,Day 107
Exercise,15/10/24 0:30,15/10/24 0:51,Day 107
Learning Japanese,15/10/24 0:51,15/10/24 1:33,Day 107
Reading,15/10/24 1:33,15/10/24 2:30,Day 107
Learning Mathematics,15/10/24 2:30,15/10/24 4:30,Day 107
Work,15/10/24 4:30,15/10/24 8:30,Day 107
Sleep,15/10/24 18:00,16/10/24 0:00,Day 107
Eating,16/10/24 0:00,16/10/24 0:30,Day 108
Exercise,16/10/24 0:30,16/10/24 0:51,Day 108
Learning Japanese,16/10/24 0:51,16/10/24 1:33,Day 108
Reading,16/10/24 1:33,16/10/24 2:30,Day 108
Learning Mathematics,16/10/24 2:30,16/10/24 4:30,Day 108
Work,16/10/24 4:30,16/10/24 8:30,Day 108
Sleep,16/10/24 18:00,17/10/24 0:00,Day 108
Learning Mathematics,17/10/24 0:00,17/10/24 0:42,Day 109
Eating,17/10/24 0:42,17/10/24 1:02,Day 109
Reading,17/10/24 1:02,17/10/24 1:44,Day 109
Learning Japanese,17/10/24 1:44,17/10/24 2:42,Day 109
Exercise,17/10/24 2:42,17/10/24 3:03,Day 109
Work,17/10/24 3:03,17/10/24 6:42,Day 109
Sleep,17/10/24 18:00,18/10/24 0:00,Day 109
Eating,18/10/24 0:00,18/10/24 0:30,Day 110
Exercise,18/10/24 0:30,18/10/24 0:51,Day 110
Learning Mathematics,18/10/24 0:51,18/10/24 1:33,Day 110
Reading,18/10/24 1:33,18/10/24 2:30,Day 110
Work,18/10/24 2:30,18/10/24 8:30,Day 110
Learning Japanese,18/10/24 8:30,18/10/24 9:12,Day 110
Sleep,18/10/24 18:00,19/10/24 0:00,Day 110
Eating,19/10/24 0:00,19/10/24 0:30,Day 111
Exercise,19/10/24 0:30,19/10/24 0:51,Day 111
Learning Mathematics,19/10/24 0:51,19/10/24 1:33,Day 111
Reading,19/10/24 1:33,19/10/24 2:30,Day 111
Work,19/10/24 2:30,19/10/24 8:30,Day 111
Learning Japanese,19/10/24 8:30,19/10/24 9:12,Day 111
Sleep,19/10/24 18:00,20/10/24 0:00,Day 111
Eating,20/10/24 0:00,20/10/24 0:30,Day 112
Exercise,20/10/24 0:30,20/10/24 0:51,Day 112
Learning Mathematics,20/10/24 0:51,20/10/24 1:33,Day 112
Reading,20/10/24 1:33,20/10/24 2:30,Day 112
Work,20/10/24 2:30,20/10/24 8:30,Day 112
Learning Japanese,20/10/24 8:30,20/10/24 9:12,Day 112
Sleep,20/10/24 18:00,21/10/24 0:00,Day 112
Eating,21/10/24 0:00,21/10/24 0:30,Day 113
Exercise,21/10/24 0:30,21/10/24 1:00,Day 113
Learning Mathematics,21/10/24 1:00,21/10/24 1:42,Day 113
Reading,21/10/24 1:42,21/10/24 2:30,Day 113
Work,21/10/24 2:30,21/10/24 8:30,Day 113
Learning Japanese,21/10/24 8:30,21/10/24 9:12,Day 113
Sleep,21/10/24 18:00,22/10/24 0:00,Day 113
Eating,22/10/24 0:00,22/10/24 0:30,Day 114
Exercise,22/10/24 0:30,22/10/24 1:00,Day 114
Learning Mathematics,22/10/24 1:00,22/10/24 1:42,Day 114
Reading,22/10/24 1:42,22/10/24 2:30,Day 114
Work,22/10/24 2:30,22/10/24 8:30,Day 114
Learning Japanese,22/10/24 8:30,22/10/24 9:12,Day 114
Sleep,22/10/24 18:00,23/10/24 0:00,Day 114
Eating,23/10/24 0:00,23/10/24 0:30,Day 115
Exercise,23/10/24 0:30,23/10/24 0:51,Day 115
Learning Mathematics,23/10/24 0:51,23/10/24 1:33,Day 115
Reading,23/10/24 1:33,23/10/24 2:30,Day 115
Work,23/10/24 2:30,23/10/24 8:30,Day 115
Learning Japanese,23/10/24 8:30,23/10/24 9:12,Day 115
Sleep,23/10/24 18:00,24/10/24 0:00,Day 115
Eating,24/10/24 0:00,24/10/24 0:30,Day 116
Exercise,24/10/24 0:30,24/10/24 0:51,Day 116
Learning Mathematics,24/10/24 0:51,24/10/24 1:33,Day 116
Reading,24/10/24 1:33,24/10/24 2:30,Day 116
Work,24/10/24 2:30,24/10/24 8:30,Day 116
Learning Japanese,24/10/24 8:30,24/10/24 9:12,Day 116
Sleep,24/10/24 18:00,25/10/24 0:00,Day 116
Eating,25/10/24 0:00,25/10/24 0:30,Day 117
Exercise,25/10/24 0:30,25/10/24 0:51,Day 117
Learning Mathematics,25/10/24 0:51,25/10/24 1:33,Day 117
Reading,25/10/24 1:33,25/10/24 2:30,Day 117
Work,25/10/24 2:30,25/10/24 8:30,Day 117
Learning Japanese,25/10/24 8:30,25/10/24 9:12,Day 117
Sleep,25/10/24 18:00,26/10/24 0:00,Day 117
Eating,26/10/24 0:00,26/10/24 0:30,Day 118
Exercise,26/10/24 0:30,26/10/24 0:51,Day 118
Learning Mathematics,26/10/24 0:51,26/10/24 1:33,Day 118
Reading,26/10/24 1:33,26/10/24 2:30,Day 118
Work,26/10/24 2:30,26/10/24 8:30,Day 118
Learning Japanese,26/10/24 8:30,26/10/24 9:12,Day 118
Sleep,26/10/24 18:00,27/10/24 0:00,Day 118
Eating,27/10/24 0:00,27/10/24 0:30,Day 119
Exercise,27/10/24 0:30,27/10/24 0:51,Day 119
Learning Mathematics,27/10/24 0:51,27/10/24 1:33,Day 119
Reading,27/10/24 1:33,27/10/24 2:30,Day 119
Work,27/10/24 2:30,27/10/24 8:30,Day 119
Learning Japanese,27/10/24 8:30,27/10/24 9:12,Day 119
Sleep,27/10/24 18:00,28/10/24 0:00,Day 119
Eating,28/10/24 0:00,28/10/24 0:30,Day 120
Exercise,28/10/24 0:30,28/10/24 0:51,Day 120
Learning Mathematics,28/10/24 0:51,28/10/24 1:33,Day 120
Reading,28/10/24 1:33,28/10/24 2:30,Day 120
Work,28/10/24 2:30,28/10/24 8:30,Day 120
Learning Japanese,28/10/24 8:30,28/10/24 9:12,Day 120
Sleep,28/10/24 18:00,29/10/24 0:00,Day 120
Eating,29/10/24 0:00,29/10/24 0:30,Day 121
Exercise,29/10/24 0:30,29/10/24 0:51,Day 121
Learning Mathematics,29/10/24 0:51,29/10/24 1:33,Day 121
Reading,29/10/24 1:33,29/10/24 2:30,Day 121
Work,29/10/24 2:30,29/10/24 6:30,Day 121
Learning Japanese,29/10/24 6:30,29/10/24 7:12,Day 121
Sleep,29/10/24 18:00,30/10/24 0:00,Day 121
Eating,30/10/24 0:00,30/10/24 0:30,Day 122
Exercise,30/10/24 0:30,30/10/24 0:51,Day 122
Learning Mathematics,30/10/24 0:51,30/10/24 1:33,Day 122
Reading,30/10/24 1:33,30/10/24 2:30,Day 122
Work,30/10/24 2:30,30/10/24 8:30,Day 122
Learning Japanese,30/10/24 8:30,30/10/24 9:12,Day 122
Sleep,30/10/24 18:00,31/10/24 0:00,Day 122
Eating,31/10/24 0:00,31/10/24 0:30,Day 123
Exercise,31/10/24 0:30,31/10/24 0:51,Day 123
Learning Mathematics,31/10/24 0:51,31/10/24 1:33,Day 123
Reading,31/10/24 1:33,31/10/24 2:30,Day 123
Work,31/10/24 2:30,31/10/24 6:00,Day 123
Learning Japanese,31/10/24 6:00,31/10/24 6:42,Day 123
Sleep,31/10/24 18:00,01/11/24 0:00,Day 123
Eating,01/11/24 0:00,01/11/24 0:30,Day 124
Exercise,01/11/24 0:30,01/11/24 0:51,Day 124
Learning Mathematics,01/11/24 0:51,01/11/24 1:33,Day 124
Reading,01/11/24 1:33,01/11/24 2:30,Day 124
Work,01/11/24 2:30,01/11/24 6:00,Day 124
Learning Japanese,01/11/24 6:00,01/11/24 6:42,Day 124
Sleep,01/11/24 18:00,02/11/24 0:00,Day 124
Exercise,02/11/24 0:00,02/11/24 0:21,Day 125
Eating,02/11/24 0:21,02/11/24 0:41,Day 125
Learning Mathematics,02/11/24 0:41,02/11/24 1:23,Day 125
Reading,02/11/24 1:23,02/11/24 2:21,Day 125
Work,02/11/24 2:21,02/11/24 6:00,Day 125
Learning Japanese,02/11/24 6:00,02/11/24 8:00,Day 125
Sleep,02/11/24 18:00,03/11/24 0:00,Day 125
Exercise,03/11/24 0:00,03/11/24 0:21,Day 126
Eating,03/11/24 0:21,03/11/24 0:41,Day 126
Learning Mathematics,03/11/24 0:41,03/11/24 1:23,Day 126
Reading,03/11/24 1:23,03/11/24 2:21,Day 126
Work,03/11/24 2:21,03/11/24 8:21,Day 126
Learning Japanese,03/11/24 8:21,03/11/24 9:03,Day 126
Sleep,03/11/24 18:00,04/11/24 0:00,Day 126
Exercise,04/11/24 0:00,04/11/24 0:21,Day 127
Eating,04/11/24 0:21,04/11/24 0:41,Day 127
Learning Mathematics,04/11/24 0:41,04/11/24 1:23,Day 127
Learning Japanese,04/11/24 1:23,04/11/24 2:21,Day 127
Reading,04/11/24 2:21,04/11/24 4:21,Day 127
Work,04/11/24 4:21,04/11/24 8:21,Day 127
Sleep,04/11/24 18:00,05/11/24 0:00,Day 127
Exercise,05/11/24 0:00,05/11/24 0:21,Day 128
Eating,05/11/24 0:21,05/11/24 0:41,Day 128
Learning Mathematics,05/11/24 0:41,05/11/24 1:23,Day 128
Reading,05/11/24 1:23,05/11/24 2:21,Day 128
Work,05/11/24 2:21,05/11/24 6:00,Day 128
Learning Japanese,05/11/24 6:00,05/11/24 6:42,Day 128
Sleep,05/11/24 18:00,06/11/24 0:00,Day 128
Exercise,06/11/24 0:00,06/11/24 0:21,Day 129
Eating,06/11/24 0:21,06/11/24 0:41,Day 129
Learning Mathematics,06/11/24 0:41,06/11/24 1:23,Day 129
Reading,06/11/24 1:23,06/11/24 2:21,Day 129
Work,06/11/24 2:21,06/11/24 6:00,Day 129
Learning Japanese,06/11/24 6:00,06/11/24 8:00,Day 129
Sleep,06/11/24 18:00,07/11/24 0:00,Day 129
Exercise,07/11/24 0:00,07/11/24 0:21,Day 130
Eating,07/11/24 0:21,07/11/24 0:41,Day 130
Learning Mathematics,07/11/24 0:41,07/11/24 1:23,Day 130
Reading,07/11/24 1:23,07/11/24 2:21,Day 130
Work,07/11/24 2:21,07/11/24 6:00,Day 130
Learning Japanese,07/11/24 6:00,07/11/24 6:42,Day 130
Sleep,07/11/24 18:00,08/11/24 0:00,Day 130
Exercise,08/11/24 0:00,08/11/24 0:21,Day 131
Eating,08/11/24 0:21,08/11/24 0:41,Day 131
Learning Mathematics,08/11/24 0:41,08/11/24 1:23,Day 131
Reading,08/11/24 1:23,08/11/24 2:21,Day 131
Work,08/11/24 2:21,08/11/24 6:00,Day 131
Learning Japanese,08/11/24 6:00,08/11/24 8:00,Day 131
Sleep,08/11/24 18:00,09/11/24 0:00,Day 131
Exercise,09/11/24 0:00,09/11/24 0:21,Day 132
